"ImportedID","CarSearchID","Engine","DealerPhone","CarYear","ErrFlg","Color","Price","BodyStyle","CarName","SellerType","SellerName","ListingID","Miles","ScraperRunID","Created"
"58","10000","2.4L I4","8882120028","2004","0","Blue","10995","Blue","Honda CR-V LX","Dealer:","Hollingsworth Richards Ford Mazda","67104274","82964","125",NULL
"1071","10042","3.5L V6","8778954765","2008","0","Black Obsidian","25888","Black Obsidian","Infiniti G35 Journey","Dealer:","Pat Peck Honda","66883835","33693","125",NULL
"2339","10111","4.6L V8","8662100527","2007","0","Obsidian Black","45987","Obsidian Black","Lexus LS 460","Dealer:","Lexus of New Orleans","56362119","39821","125",NULL
"2599","1012","2.4L I4","8882513551","2008","0","Taffeta White","20988","Taffeta White","Honda Accord EX","Dealer:","Honda on Grand","66003635","32953","125",NULL
"3824","1015","1.7L I4","8662421663","2005","0","Magnesium Metallic","8988","Magnesium Metallic","Honda Civic EX","Dealer:","Planet Honda","67098428","105619","125",NULL
"5988","1024","3.5L V6","8886078568","2005","0","Silver","14595","Silver","Honda Odyssey Touring","Dealer:","Rosen Honda Nissan","66441326","136350","125",NULL
"10424","10530","5.3L V8","8889057044","2007","0","Black","0","Black","Chevrolet Avalanche LT","Dealer:","Suburban Chevrolet","55816311","55761","125",NULL
"10980","10549","2.2L I4","8884372444","2011","0","Black Granite Metallic","0","Black Granite Metallic","Chevrolet HHR LT","Dealer:","Jim Glover Chevrolet","66103984","9348","125",NULL
"22489","11060","236 horsepower V6","8884181339","2008","0","Black Sand Pearl","24995","Black Sand Pearl","Toyota Tacoma Prerunner","Dealer:","Dealer:","65620886","55901","125",NULL
"25378","11254","4.3L V6","8669138079","2007","0","Victory Red","9990","Victory Red","Chevrolet Silverado 1500 W/T","Dealer:","Cox  Cohea","65179220","32507","125",NULL
"25639","11261","5.3L V8","8884765770","2007","0","Graystone Metallic - (Gray)","24995","Graystone Metallic - (Gray)","Chevrolet Tahoe LT","Dealer:","Jim Trenary Chevrolet","60150854","75453","125",NULL
"26819","11311","3.7L V6","8882285236","2007","0","Black","14963","Black","Dodge Nitro SXT","Dealer:","Woody""s Dodge Jeep Chrysler","65626343","57800","125",NULL
